location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Aarbergen-Rückershausen,Antoniussprudel,50.26492644423978,8.057309675431043,3,Quartzite,Devonian,12,,,,,,228.0,54.3,258.0,36.6,12.7,1633.0,0.3,12.5,0.8,0.4,10,2,,,31.1,,6,
Aarbergen-Rückershausen,Antoniussprudel,50.26492644423978,8.057309675431043,3,Quartzite,Devonian,12.6,,,,,,202.6,55.4,242.7,36.1,23.2,1470.1,,,,,10,,,,,,6,
Alheim-Heinebach,Wichte I,51.03155745159091,9.585268002139287,168,Sandstone,Triassic,11.1,226.0,7.27,,,6.4,8.1,11.9,22.7,9.5,21.8,106.8,,2.5,,,0.03,0.007,,3.5,,,6,
Alheim-Licherode,Niederellenbach (old),51.02774204169852,9.575242006521949,120,Sandstone,Triassic,9.2,137.0,7.69,,,8.4,6.2,5.4,9.7,5.8,5.3,61.0,,4.2,,,<0.01,<0.005,,1,,,6,
Alheim-Niederellenbach,Wichte II,51.04095565786939,9.593228543123356,178.5,Sandstone,Triassic,11.3,254.0,7.56,,,6.6,6.9,14.7,26.3,9.7,17,135.1,,2.2,,,0.1,0.047,,2,,,6,
Alsbach-Hähnlein,Tiefbrunnen I Hähnlein-West,49.74946907419721,8.546054456482755,435,Sand and Gravel,Neogene,17.2,,,,,,5100.0,224.0,1360.0,11100.0,0,144.5,,,,,252,,,,,,6,
Altenstadt (Hesse),Altenstadt I,50.29197534094305,8.936399009318295,372,Sandstone,Permian,18,,,,,,174.7,3.65,4.01,74.45,9.6,353.8,,,,,,,,,,,6,
Bad Arolsen,Schlossbrunnen,51.37692739030102,9.020491756347912,401,Claystone,Permian,14.3,,,,,,55.0,85.2,320.2,13.2,985.6,286.6,0.16,3.27,6,0.3,1.95,0.04,1.5,3,27.3,,6,
Bad Arolsen,Schlossbrunnen,51.37692739030102,9.020491756347912,401,Claystone,Permian,15.1,1873.0,7.11,44.0,,<0.1,54.6,84.2,290.0,8.4,930,281.0,0.039,3.3,6.2,0.06,3.3,0.036,1.7,<0.3,29.2,,6,
Bad Arolsen-Braunsen,Untersuchungsbohrung,51.3503649529879,9.0412163730278,450,,Permian,15,,,,,,32.0,52.1,233.9,14.2,649.9,207.0,,,,,,,,,,,6,
Bad Arolsen-Neuberich,Neu-Berich,51.37483752952067,9.075064513862324,102,Sandstone,Triassic,9,,6.1,,,12.5,12.4,9.1,22.8,22.7,30.8,52.224,,,,,,,,19.1,,,6,
Bad Arolsen-Volkerdinghausen,Versuchsbohrung I,51.322268873878,9.050591304673356,404,Sandstone,Triassic,11.2,,7.2,,,8.4,18.0,4.8,21.4,12.0,26,73.98400000000001,,,,,,0.1,,10,,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Slate,Devonian,13.7,,,,,,684.6,37.59,82.08,620.9,15.19,1201.0,1.092,17.53,1.174,1.212,0.032,0.121,,4.386,17.1,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Sandstone,Devonian,13.7,,,,,,684.6,37.59,82.08,620.9,15.19,1201.0,1.092,17.53,1.174,1.212,0.032,0.121,,4.386,17.1,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Slate,Devonian,13.3,,,,,,763.1,44.73,106.3,801.2,20.1,1210.0,,24.58,,,1.59,0.25,,1,17.12,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Sandstone,Devonian,13.3,,,,,,763.1,44.73,106.3,801.2,20.1,1210.0,,24.58,,,1.59,0.25,,1,17.12,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,26.9,,,,,,425.081402,71.821275,701.96617,503.4326,1902.03948,387.458585,,,,,,,,,,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,26.8,,,,,,416.0,68.1,705.0,503.4,1887,387.48,,11.4,12.73,0.16,10.55,0.08,,0,27.3,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,27,4610.0,6.6,,,,404.0,89.8,685.0,507.0,1960,366.0,0.18,14.9,11,0.29,4.3,0.14,2.4,,22.3,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,10.5,,,,,,960.4,37.63,308.9,353.2,1934,769.8,0.246,16.81,6.501,,55.51,0.297,,3.764,14.65,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,n.s.,,,,,,646.0,24.0,242.0,240.0,1314,557.0,,16,,,15,,,,,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,11.2,,7.1,,,,254.3,11.8,135.3,111.0,489,365.6,,12.2,,,5.7,0.15,,,14.9,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,11.2,1678.0,5.15,,,,208.0,9.6,168.0,130.0,433,350.0,,8.8,4.4,,0.01,0.014,2.66,,18.3,,6,
Bad Hersfeld,Bohrung Friedlos,50.89857252593623,9.720342897846276,153,Sandstone,Triassic,n.s.,,,,,,17.0,18.0,55.1,14.2,35.2,231.744,,,,,,,,3,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg I,50.87967113144766,9.67941350770718,130.7,Sandstone,Triassic,n.s.,,,,,,21.5,28.2,82.4,12.0,160,221.952,,,,,,,,4,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg II,50.87992751885329,9.681690685720628,100,Sandstone,Triassic,n.s.,,,,,,13.0,15.6,50.1,12.0,19,215.424,,,,,,,,6,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg III,50.87969259418401,9.675719489489367,110,Sandstone,Triassic,n.s.,,,,,,10.0,19.2,55.7,2.0,65.4,202.368,,,,,,,,3,,,6,
Bad Hersfeld,Linggbrunnen,50.86525713287972,9.714715247898297,52,Sandstone,Triassic,10.9,,6.95,,,,1147.0,51.59,224.4,1447.0,849.1,395.5,0.124,29.91,4.217,,0.59,0.106,,79.07,21.06,,6,
Bad Hersfeld,Neuer Lullusbrunnen ,50.86156220296154,9.701449478698404,412,Dolomite,Permian,19.1,,,,,,1476.0,117.0,543.3,1628.0,2475,306.8,,,,,13.6,,,,,,6,
Bad Hersfeld,Vitalisbrunnen,50.86023694060793,9.697594749404143,437.2,Dolomite,Permian,18.8,,6.7,,,,1705.0,149.8,559.2,1727.0,2957,404.7,0.5,79.8,10.9,,5.4,0.06,,,24.7,,6,
Bad Hersfeld,Vitalisbrunnen,50.86023694060793,9.697594749404143,437.2,Dolomite,Permian,18.8,11240.0,6.78,183.0,,0.2,3800.0,172.0,680.0,5360.0,2820,330.0,0.29,66,,0.14,4.7,0.12,2.5,<0.05,11.7,,6,
Bad Hersfeld-Sorga,Breitzbachsmühle,50.8711828834292,9.785695996856843,0,Sandstone,Triassic,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Auguste-Victoria-Brunnen,50.22756965149286,8.62799151607764,53,Schist,Silurian ,10,,,,,,1584.0,75.0,361.0,2819.0,21,884.0,,95,,,7,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,10.6,18100.0,,,,,3061.0,148.2,691.9,5676.0,23.69,1445.0,2.505,143.2,8.604,3.663,11.03,0.606,,Traces,33.26,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,11,,,,,,2741.0,109.0,610.0,4846.0,22,1623.0,,157,,,9,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,11,,6.0,,,,2754.0,133.0,590.0,4854.0,27,1632.0,,142,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,11.5,17170.0,,,,,2828.0,121.2,572.5,5160.0,11.63,1211.0,2.497,132.1,Traces,5.156,11.3,0.732,Traces,,19.22,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,11.5,17170.0,,,,,2828.0,121.2,572.5,5160.0,11.63,1211.0,2.497,132.1,Traces,5.156,11.3,0.732,Traces,,19.22,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,11.4,,,,,,2995.0,152.3,734.7,5744.0,20.6,1324.0,,160,,,6,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,11.4,,,,,,2995.0,152.3,734.7,5744.0,20.6,1324.0,,160,,,6,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Gneiss,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,190,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Gneiss,Silurian ,11.96,15300.0,5.84,110.0,,<0.1,2640.0,115.0,596.0,4896.0,18,1176.0,1.8,140,9.7,4,3.9,0.84,0.51,24,17.9,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Greenschist,Silurian ,11.96,15300.0,5.84,110.0,,<0.1,2640.0,115.0,596.0,4896.0,18,1176.0,1.8,140,9.7,4,3.9,0.84,0.51,24,17.9,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Gneiss,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Kaiserbrunnen,50.22816717303892,8.62648734498225,75.3,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,11,22490.0,,,,,3893.0,210.4,907.4,7306.0,23.36,1932.0,3.434,193.4,22.88,0.876,22.81,0.601,Traces,Traces,44.96,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,12,,,,,,3338.0,166.0,716.0,6158.0,26,1575.0,,176,,,12,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Landgrafenbrunnen,50.22757117327866,8.628467984686578,156,Schist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Louisenbrunnen,50.22824760586327,8.629149440222761,96.4,Schist,Silurian ,11.3,,,,,,1222.0,58.83,268.6,1994.0,19.3,1085.0,Traces,62.65,,3.201,38.68,0.892,,Traces,26.1,,6,
Bad Homburg (Höhe),Louisenbrunnen,50.22824760586327,8.629149440222761,96.4,Schist,Silurian ,11.9,,,,,,384.0,26.0,104.0,550.0,29,544.0,,31,,,3,,,,,,6,
Bad Homburg (Höhe),Ludwigbrunnen,50.22900291900122,8.626382726128318,7.7,Schist,Silurian ,11.9,23300.0,,,,,2017.0,104.3,492.1,3809.0,9.914,1018.0,1.714,124.9,Traces,1.757,5.124,0.585,Traces,1.702,16.05,,6,
Bad Homburg (Höhe),Ludwigbrunnen,50.22900291900122,8.626382726128318,7.7,Schist,Silurian ,12,,,,,,3832.0,180.0,890.0,7325.0,25,1499.0,,194,,,11,,,,,,6,
Bad Homburg (Höhe),Seedammbrunnen,50.22419743998637,8.633370722063905,852.75,Gneiss,Silurian ,21.8,,,,,,854.0,51.2,282.3,1402.0,12.7,1023.0,,36,,,3,,,,,,6,
Bad Homburg (Höhe),Seedammbrunnen,50.22419743998637,8.633370722063905,852.75,Greenschist,Silurian ,21.8,,,,,,854.0,51.2,282.3,1402.0,12.7,1023.0,,36,,,3,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,150,Schist,Silurian ,15,,,,,,7595.0,218.6,1377.0,14020.0,24.1,2651.0,,131.4,,Traces,413.4,6.46,,,17.5,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Gneiss,Silurian ,10.8,,6.1,,,,5707.0,270.1,1250.0,10956.0,19.8,1925.0,,263,,,20.9,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Greenschist,Silurian ,10.8,,6.1,,,,5707.0,270.1,1250.0,10956.0,19.8,1925.0,,263,,,20.9,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,150,Schist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Gneiss,Silurian ,15.5,30700.0,5.96,10.0,,<0.1,5740.0,235.0,1121.0,10690.0,20,1796.0,4.2,230,17,10,12,1.5,0.37,<0.03,17.6,,6,
