WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,rock_type,pH_gauss,redox_potential_in_mV_gauss,total_dissolved_solids_in_mmol/L_log_gauss,O2_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,NH4_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,Mn_in_mmol/L_log_gauss,F_in_umol/L_log_gauss,NO3_in_mmol/L_log_gauss,H2SiO3_in_umol/L_log_gauss,HS_in_mmol/L_gauss
46.1968,8.5416,5,25.7,Andesite,2.522713213915788,,-1.5835308257954854,,-0.9908046684009453,-1.7800054115256905,-1.1022414316755402,-2.5223577868695606,0.2639845916795205,-1.7219140740079046,-1.625274397929711,-1.7560546411295914,,,,,0.5775565284075048,,,
46.24352,9.72534,5,37.9,Basalt,2.0222126392139925,,-1.2092843929531651,,-0.8409063506463136,-1.887753435404271,-0.8459784498342857,-1.0276845081382369,0.482248214837923,-1.7923740229175147,-1.4678604169994043,-1.1210601441231978,,,,,,,,
45.76189,6.9689,5,22.3,Andesite,0.6180588649234722,,-0.9109510568567043,,-1.0323589593814713,-0.046815981521345335,0.06654121327814211,-0.9070802442763028,0.33087257172641926,-0.07632195603623598,-1.2180019723677067,-1.1895222157453642,,,,,-0.9614293430232357,,,
46.26274,8.10919,5,29.2,Andesite,,,-0.7584149880027887,,-2.575483324008602,0.016310116285324295,0.4629443899811646,-2.7474533072977243,1.065422962733523,-1.1070593519207448,,-1.3310177115031385,,,,,-0.9614293430232357,,,
46.26274,8.10919,5,38.6,Andesite,0.4612146045705889,,-0.5781665277234774,,-1.9105995981591772,0.08415533089046491,0.6271665929735241,-2.7474533072977243,1.3105291188818322,-1.1257762007300154,,-1.2668604147849325,,,,,-0.9614293430232357,,,
44.20638889,7.269966667,5,63.0,Andesite,2.3611859569112656,,-1.4582654198237588,,-0.9448285267714219,-1.9421788528592079,-1.9510410413404122,-0.9206812798462821,-0.33043018484866366,-1.4390013150939502,-0.8920383589928601,-0.9896968352818815,,,,,1.8378035525521172,,,
44.20638889,7.268888888999999,5,48.8,Andesite,2.3259724580726555,,-1.4600432692842438,,-0.9070802442763028,-1.7800054115256905,-2.256744827428804,-0.8845926423808339,-0.156199366742127,-1.5417962109786076,,-0.9795114633875127,,,,,,,,
44.28861111,7.077744444,5,46.7,Andesite,1.845829866353957,,-0.2603179183210622,,-0.26483261543135583,-1.6844636845245369,-0.3870776830245226,-0.04416583167379904,-0.71209939648827,-1.6762186778275494,-0.09171191948527647,-0.12482248035162229,,,,,1.7630165532896545,,,
44.28861111,7.077744444,5,50.5,Andesite,1.5336120376100353,,-0.2757067209062516,,-0.26483261543135583,-1.5175450472144199,-0.25490199055947255,-0.04970996096202759,-0.4766187439234876,-2.013671405766345,,-0.05522908732975686,,,,,,,,
44.28861111,7.077744444,5,55.2,Andesite,2.186561161179442,,-0.7224745889909616,,-0.5929381207553854,-2.006007208942002,-1.6965477801315774,-0.3923329039900996,-0.6553737090622249,-1.3566784186563798,-0.5177063002374316,-0.4696030591824158,,,,,1.9879991204004528,,,
44.28861111,7.077744444,5,55.6,Andesite,1.918441485013229,,-0.7407294448019145,,-0.5909490574270495,-1.8687203777647494,-1.7274655664796177,-0.4130327799563797,-0.71209939648827,-1.2210222220567835,-0.5257139891982386,-0.4752137400618248,,,,,2.053335604240414,,,
44.67527778,8.480555556,5,70.5,Sand and Gravel,1.786155561261078,,-0.10989084365753729,,-0.08915493892249228,-1.109377725663068,0.13464457985184158,-0.023950609716653238,0.5764183448869786,-1.6067550689692431,,-0.3057951141002493,,,,,,,,
