location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Bad Arolsen-Neuberich,Neu-Berich,51.37614162779074,9.076127473239858,102,Sandstone,Triassic,9,,6.1,,,12.5,12.4,9.1,22.8,22.7,30.8,52.224,,,,,,,,19.1,,,6.0
Bad Arolsen-Volkerdinghausen,Versuchsbohrung I,51.32356703922208,9.051650083258616,404,Sandstone,Triassic,11.2,,7.2,,,8.4,18.0,4.8,21.4,12.0,26,73.98400000000001,,,,,,0.1,,10,,,6.0
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32679837802514,8.242972453278083,12,"Slate, Sandstone ",Devonian,13.7,,,,,,684.6,37.59,82.08,620.9,15.19,1201.0,1.092,17.53,1.174,1.212,0.032,0.121,,4.386,17.1,,6.0
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32679837802514,8.242972453278083,12,"Slate, Sandstone ",Devonian,13.3,,,,,,763.1,44.73,106.3,801.2,20.1,1210.0,,24.58,,,1.59,0.25,,1,17.12,,6.0
Bad Emstal-Sand,Heilbrunnen,51.24792795912269,9.253099896371209,795.5,Dolomite,Permian,26.9,,,,,,425.081402,71.821275,701.96617,503.4326,1902.03948,387.458585,,,,,,,,,,,6.0
Bad Emstal-Sand,Heilbrunnen,51.24792795912269,9.253099896371209,795.5,Dolomite,Permian,26.8,,,,,,416.0,68.1,705.0,503.4,1887,387.48,,11.4,12.73,0.16,10.55,0.08,,0,27.3,,6.0
Bad Emstal-Sand,Heilbrunnen,51.24792795912269,9.253099896371209,795.5,Dolomite,Permian,27,4610.0,6.6,,,,404.0,89.8,685.0,507.0,1960,366.0,0.18,14.9,11,0.29,4.3,0.14,2.4,,22.3,,6.0
Bad Hersfeld,Alter Lullusbrunnen,50.86262948144093,9.701888363290454,420,Dolomite ,Permian,10.5,,,,,,960.4,37.63,308.9,353.2,1934,769.8,0.246,16.81,6.501,,55.51,0.297,,3.764,14.65,,6.0
Bad Hersfeld,Alter Lullusbrunnen,50.86262948144093,9.701888363290454,420,Dolomite ,Permian,n.s.,,,,,,646.0,24.0,242.0,240.0,1314,557.0,,16,,,15,,,,,,6.0
Bad Hersfeld,Alter Lullusbrunnen,50.86262948144093,9.701888363290454,420,Dolomite ,Permian,11.2,,7.1,,,,254.3,11.8,135.3,111.0,489,365.6,,12.2,,,5.7,0.15,,,14.9,,6.0
Bad Hersfeld,Alter Lullusbrunnen,50.86262948144093,9.701888363290454,420,Dolomite ,Permian,11.2,1678.0,5.15,,,,208.0,9.6,168.0,130.0,433,350.0,,8.8,4.4,,0.01,0.014,2.66,,18.3,,6.0
Bad Hersfeld,Bohrung Friedlos,50.89981947324369,9.721497929641284,153,Sandstone,Triassic,n.s.,,,,,,17.0,18.0,55.1,14.2,35.2,231.744,,,,,,,,3,,,6.0
Bad Hersfeld,Geisbachtal/Frauenberg I,50.88091609621764,9.680562215824148,130.7,Sandstone,Triassic,n.s.,,,,,,21.5,28.2,82.4,12.0,160,221.952,,,,,,,,4,,,6.0
Bad Hersfeld,Geisbachtal/Frauenberg II,50.88117250295183,9.682839736790449,100,Sandstone,Triassic,n.s.,,,,,,13.0,15.6,50.1,12.0,19,215.424,,,,,,,,6,,,6.0
Bad Hersfeld,Geisbachtal/Frauenberg III,50.88093757765185,9.676867646079799,110,Sandstone,Triassic,n.s.,,,,,,10.0,19.2,55.7,2.0,65.4,202.368,,,,,,,,3,,,6.0
Bad Hersfeld,Linggbrunnen,50.86650029160774,9.715869068812168,52,Sandstone,Triassic,10.9,,6.95,,,,1147.0,51.59,224.4,1447.0,849.1,395.5,0.124,29.91,4.217,,0.59,0.106,,79.07,21.06,,6.0
Bad Hersfeld,Neuer Lullusbrunnen ,50.86280499756923,9.70260127798528,412,Dolomite ,Permian,19.1,,,,,,1476.0,117.0,543.3,1628.0,2475,306.8,,,,,13.6,,,,,,6.0
Bad Hersfeld,Vitalisbrunnen,50.86147960056753,9.698745958530644,437.2,Dolomite ,Permian,18.8,,6.7,,,,1705.0,149.8,559.2,1727.0,2957,404.7,0.5,79.8,10.9,,5.4,0.06,,,24.7,,6.0
Bad Hersfeld,Vitalisbrunnen,50.86147960056753,9.698745958530644,437.2,Dolomite ,Permian,18.8,11240.0,6.78,183.0,,0.2,3800.0,172.0,680.0,5360.0,2820,330.0,0.29,66,,0.14,4.7,0.12,2.5,<0.05,11.7,,6.0
Bad Hersfeld-Sorga,Breitzbachsmühle,50.87242640182928,9.786860482983192,0,Sandstone,Triassic,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Auguste-Victoria-Brunnen,50.22874388754874,8.628978217301343,53,Greenschist,Silurian ,10,,,,,,1584.0,75.0,361.0,2819.0,21,884.0,,95,,,7,,,,,,6.0
Bad Homburg (Höhe),Elisabethenbrunnen,50.2274804538464,8.630333539038277,7.5,Greenschist,Silurian ,10.6,18100.0,,,,,3061.0,148.2,691.9,5676.0,23.69,1445.0,2.505,143.2,8.604,3.663,11.03,0.606,,Traces,33.26,,6.0
Bad Homburg (Höhe),Elisabethenbrunnen,50.2274804538464,8.630333539038277,7.5,Greenschist,Silurian ,11,,,,,,2741.0,109.0,610.0,4846.0,22,1623.0,,157,,,9,,,,,,6.0
Bad Homburg (Höhe),Elisabethenbrunnen,50.2274804538464,8.630333539038277,7.5,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Elisabethenbrunnen,50.2274804538464,8.630333539038277,7.5,Greenschist,Silurian ,11,,6.0,,,,2754.0,133.0,590.0,4854.0,27,1632.0,,142,,,,,,,,,6.0
Bad Homburg (Höhe),Kaiserbrunnen,50.22934148202872,8.627473828830661,190,"Gneiss, Greenschist",Silurian ,11.5,17170.0,,,,,2828.0,121.2,572.5,5160.0,11.63,1211.0,2.497,132.1,Traces,5.156,11.3,0.732,Traces,,19.22,,6.0
Bad Homburg (Höhe),Kaiserbrunnen,50.22934148202872,8.627473828830661,190,"Gneiss, Greenschist",Silurian ,11.4,,,,,,2995.0,152.3,734.7,5744.0,20.6,1324.0,,160,,,6,,,,,,6.0
Bad Homburg (Höhe),Kaiserbrunnen,50.22934148202872,8.627473828830661,190,"Gneiss, Greenschist",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Kaiserbrunnen,50.22934148202872,8.627473828830661,75.3,"Gneiss, Greenschist",Silurian ,11.96,15300.0,5.84,110.0,,<0.1,2640.0,115.0,596.0,4896.0,18,1176.0,1.8,140,9.7,4,3.9,0.84,0.51,24,17.9,,6.0
Bad Homburg (Höhe),Kaiserbrunnen,50.22934148202872,8.627473828830661,75.3,"Gneiss, Greenschist",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Landgrafenbrunnen,50.22874540806306,8.62945475617281,156,Greenschist,Silurian ,11,22490.0,,,,,3893.0,210.4,907.4,7306.0,23.36,1932.0,3.434,193.4,22.88,0.876,22.81,0.601,Traces,Traces,44.96,,6.0
Bad Homburg (Höhe),Landgrafenbrunnen,50.22874540806306,8.62945475617281,156,Greenschist,Silurian ,12,,,,,,3338.0,166.0,716.0,6158.0,26,1575.0,,176,,,12,,,,,,6.0
Bad Homburg (Höhe),Landgrafenbrunnen,50.22874540806306,8.62945475617281,156,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Landgrafenbrunnen,50.22874540806306,8.62945475617281,156,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Louisenbrunnen,50.22942191598118,8.63013631717313,96.4,Greenschist,Silurian ,11.3,,,,,,1222.0,58.83,268.6,1994.0,19.3,1085.0,Traces,62.65,,3.201,38.68,0.892,,Traces,26.1,,6.0
Bad Homburg (Höhe),Louisenbrunnen,50.22942191598118,8.63013631717313,96.4,Greenschist,Silurian ,11.9,,,,,,384.0,26.0,104.0,550.0,29,544.0,,31,,,3,,,,,,6.0
Bad Homburg (Höhe),Ludwigbrunnen,50.2301773239395,8.62736920070874,7.7,Greenschist,Silurian ,11.9,23300.0,,,,,2017.0,104.3,492.1,3809.0,9.914,1018.0,1.714,124.9,Traces,1.757,5.124,0.585,Traces,1.702,16.05,,6.0
Bad Homburg (Höhe),Ludwigbrunnen,50.2301773239395,8.62736920070874,7.7,Greenschist,Silurian ,12,,,,,,3832.0,180.0,890.0,7325.0,25,1499.0,,194,,,11,,,,,,6.0
Bad Homburg (Höhe),Seedammbrunnen,50.2253712738372,8.634358191491195,852.75,"Gneiss, Greenschist",Silurian ,21.8,,,,,,854.0,51.2,282.3,1402.0,12.7,1023.0,,36,,,3,,,,,,6.0
Bad Homburg (Höhe),Solsprudel,50.22876730029316,8.625067514953184,150,Greenschist,Silurian ,15,,,,,,7595.0,218.6,1377.0,14020.0,24.1,2651.0,,131.4,,Traces,413.4,6.46,,,17.5,,6.0
Bad Homburg (Höhe),Solsprudel,50.22876730029316,8.625067514953184,505,"Gneiss, Greenschist",Silurian ,10.8,,6.1,,,,5707.0,270.1,1250.0,10956.0,19.8,1925.0,,263,,,20.9,,,,,,6.0
Bad Homburg (Höhe),Solsprudel,50.22876730029316,8.625067514953184,150,Greenschist,Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Homburg (Höhe),Solsprudel,50.22876730029316,8.625067514953184,505,"Gneiss, Greenschist",Silurian ,15.5,30700.0,5.96,10.0,,<0.1,5740.0,235.0,1121.0,10690.0,20,1796.0,4.2,230,17,10,12,1.5,0.37,<0.03,17.6,,6.0
Bad Homburg (Höhe),Stahlbrunnen,50.22881933388056,8.627267653307436,58.8,Greenschist,Silurian ,11.7,9580.0,,,,,2310.0,98.55,467.6,4244.0,8.344,1037.0,1.997,131.3,5.064,4.494,34.44,1.938,,1.151,22.32,,6.0
Bad Homburg (Höhe),Victoria-Louisen-Brunnen,50.2253712738372,8.634358191491195,257,"Gneiss, Greenschist",Silurian ,22.4,6470.0,5.97,-10.0,,<0.1,991.0,59.0,332.0,1662.0,13,1141.0,1.2,43,3.6,2.2,3.5,0.23,0.37,<0.03,17.1,,6.0
Bad Karlshafen,Alte Solebohrung,51.64586037394947,9.454414064554422,36,Sandstone,Triassic,11,,,,,,9981.0,138.3,338.2,15125.0,1252,782.8,,116.5,,4.9,1,,,3.5,28.1,,6.0
Bad Karlshafen,Neue Solebohrung,51.64612779583251,9.45499469536061,70,Sandstone,Triassic,10.9,,,,,,4646.7,97.0,239.4,7170.6,608.6,634.4,,,,,,,,,,,6.0
Bad Karlshafen,Neue Solebohrung,51.64612779583251,9.45499469536061,70,Sandstone,Triassic,13,,6.98,,,2.6,2870.0,30.1,235.7,4167.0,910.1,471.8,,40,,,0.151,0.02,0.3,1.5,,,6.0
Bad Karlshafen,Solebohrung III,51.64583239915877,9.450006889493453,1144.6,"Pelite, Halite rock",Permian,23,246000.0,5.7,,,<0.3,118463.0,948.0,1262.0,174000.0,5098,314.0,8.25,720,42,14.4,10.6,1.32,0.32,<0.05,8.83,,6.0
Bad König,Fafnirbrunnen,49.74356133639269,9.006382895721256,19.4,Sandstone,Triassic,14,,,,,,69.8,28.9,114.5,154.4,48.7,581.8,,154.6,,,19,,,,,,6.0
Bad König,Gustavbrunnen,49.74342635935707,9.00797859751763,6,Sandstone,Triassic,10,,,,,,53.0,19.8,83.0,133.0,56,461.0,,154,0.23,8.68,6.91,3.15,0.14,17,,,6.0
Bad König,Thermalbrunnen,49.74374114198946,9.006937955773395,366,"Sandstone, Limestone, Granite",Triassic/Permian/Carbonifereous,20.5,,,,,,79.6,28.9,71.4,197.3,14.4,214.0,0.16,12.5,0.95,0.08,1.31,0.25,0.11,0.17,17.5,,6.0
Bad König,Thermalbrunnen,49.74374114198946,9.006937955773395,489.6,"Sandstone, Limestone, Granite",Triassic/Permian/Carbonifereous,n.s.,,,,,,65.3,25.6,93.9,149.0,63,537.0,,161,0.22,9.06,3.2,4.5,,26,,,6.0
Bad Nauheim,Bohrung 103,50.36011033697624,8.753619384632445,10,"Unconsolidated rocks, Carbonate bearing silt",Neogene/Paleogene,n.s.,,7.8,,,,4139.0,13.4,83.6,6180.0,226,323.0,,,,0,,,,60,,,6.0
Bad Nauheim,Bohrung 27,50.35921392598882,8.754888934251863,12.8,Unconsolidated rocks,Quaternary,n.s.,,,,,,1705.0,44.2,270.2,2640.0,439,518.6,,,,25,,,,32,,,6.0
Bad Nauheim,Gasquelle,50.36799086554544,8.743218467503752,40.5,Quartzite,Devonian,20.5,,6.5,,,,926.0,23.1,325.0,1513.0,36.8,989.7,,37.8,3,2.4,2.5,0.6,,,17.3,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,17.2,,,,,,2457.0,35.64,323.0,4293.0,48.66,486.0,2.608,139.4,2.62,7.227,1.9,0.781,,,13.11,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,20.35,,,,,,5569.5,76.7,863.2,9739.3,34.3,1414.0,,197.6,,12.3,7.9,4,,,,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,19.05,,5.87,,,,3314.5,52.95,534.5,5717.0,32.92,1052.3,,129.65,10.83,6.65,3.79,1.09,,,18.17,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,19.7,,5.87,,,,3856.0,72.9,619.1,6727.5,30.57,1162.0,4.065,128.24,15.42,8.26,4.44,1.026,0.824,6.63,17.28,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,19.4,13500.0,5.9,,,,3250.0,60.0,564.0,5690.0,39.3,1110.0,,148,,2.7,4.2,,,9.8,,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,19.9,13700.0,5.9,,,,3300.0,50.0,561.0,5760.0,26.3,1074.0,,115,,6.7,4.5,,,7,,,6.0
Bad Nauheim,Karlsbrunnen,50.36432746062332,8.741368778940048,9.8,Quartzite,Devonian,20.1,18970.0,5.91,,,,3103.0,57.0,602.0,5027.0,33,1067.0,,122,,8.8,4.6,,,12,,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,20.1,,,,,,5590.0,80.03,852.7,9818.0,31.17,1339.0,4.535,237.5,11.31,11.83,10.51,1.65,,,23.45,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,20.35,,,,,,5538.4,81.4,847.1,9717.6,30.8,1410.9,,242.1,,11.7,10.7,1.5,,,,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,20.1,,5.95,,,,5393.0,78.5,813.2,9370.0,30.1,1390.4,,190.6,11.63,11.06,9.87,1.236,,,20.34,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,19.7,,6.2,,,,4830.2,78.08,742.18,8392.0,27.36,1323.0,5.25,152.15,14.38,7.41,9.68,1.34,,,19.85,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,n.s.,18100.0,6.0,,,,4450.0,70.0,705.0,7700.0,27,1293.0,,155,,4,7.6,,,1,,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,22.7,19820.0,5.93,,,,3395.0,59.0,648.0,6290.0,31,1134.0,,204,,8.7,2.6,,,5.8,,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,22.7,22000.0,6.0,158.0,,2.3,4455.0,69.29,652.0,7636.0,27.4,1379.0,8.72,160.7,14.18,8.55,7.39,0.999,0.21,<0.05,23.46,,6.0
Bad Nauheim,Kurbrunnen,50.36485173425611,8.742630989152032,16.6,Quartzite,Devonian,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,18.6,,,,,,181.2,43.37,133.1,333.7,22.07,533.7,1.071,15.06,1.67,2.35,5.186,0.689,,,12.42,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,18.6,,,,,,182.1,42.7,143.3,371.5,22.5,564.4,,10.6,,0.65,4.9,0.4,,,,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,18.6,,5.73,,,,237.66,47.45,147.76,420.46,14.72,610.67,,13.46,1.8,0.81,4.17,0.28,,0,14.94,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,18.4,1960.0,6.0,,,,265.0,50.2,164.0,460.0,16,634.0,,15,,0.1,3.8,,,0.8,,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,n.s.,2080.0,5.9,,,,270.0,51.0,165.0,485.0,16.5,641.0,,16,,1.13,3.9,,,0.9,,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,19,2000.0,5.8,,,,280.0,53.0,170.0,510.0,15.6,683.0,,15,,1.4,3.8,,,1,,,6.0
Bad Nauheim,Ludwigsbrunnen,50.35959751813226,8.745118967609779,54.5,Quartzite,Devonian,18.9,2674.0,5.86,,,,303.0,54.0,181.0,438.0,15,666.0,,18,,0.67,4.3,,,1.5,,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,12.7,,,,,,5016.6,68.0,708.9,7979.4,20.7,1969.4,,168,,8,7.8,1.4,,,,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,15.6,,5.79,,,,3344.0,55.6,547.2,5784.0,31.7,1072.1,,131.4,,6.26,5.66,1.241,,,18.79,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,15,17967.6,5.93,,,,3637.0,69.27,582.24,6329.0,26.37,1144.0,,119.9,,5.68,6.72,1.15,,,,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,16.8,17744.0,5.9,,,,3522.0,57.2,522.0,6048.0,21.1,1104.0,3.18,126.3,24.41,9.07,5.22,2.01,0.458,0.01,20.08,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,n.s.,14000.0,5.9,,,,3400.0,54.0,558.0,5950.0,27.5,1135.0,,125,,2.8,4.3,,,1.2,,,6.0
Bad Nauheim,Siedehausquelle,50.36432746062332,8.741368778940048,12.9,Limestone,Devonian,16.1,19300.0,5.74,,,,3124.0,60.0,630.0,6426.0,30,1123.0,,120,,9.2,4.1,,,1.8,,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,29.9,,,,,,7702.0,101.0,1186.0,13370.0,35.91,2148.0,9.265,341.7,13.79,17.16,7.61,2.17,,,21.29,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,30.4,,,,,,8672.0,106.3,1300.4,15222.0,37.9,1920.0,,311.1,,18.9,12.3,1.1,,,,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,30.05,,6.14,,,,8268.0,101.5,1231.0,14407.0,38.11,1974.0,2.2,288.3,39.58,16.24,12.95,1.81,1,,25.12,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,28.3,,6.2,,,,7120.0,100.0,1190.0,12790.0,39.3,1964.0,,240,,15.7,11.2,,,1.3,,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,28.6,24200.0,6.2,,,,7400.0,95.0,1175.0,13000.0,40.5,1976.0,,130,,15.1,10.9,,,1,,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,29.9,37400.0,5.96,215.0,,0.5,7610.0,82.4,1060.0,13100.0,34,1970.0,7.54,414,29,15,11.3,1.66,0.1,88.3,20.9,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Sprudel VII ,50.36845218324296,8.744481133168664,159.5,Limestone,Devonian,30.3,44500.0,6.26,268.0,,0.95,10276.0,130.0,1489.0,18014.0,46.5,2146.0,10.2,367,35.1,22.4,0.159,1.231,9.27,18.6,,,6.0
Bad Nauheim,Sprudel XII,50.36848845522599,8.744621511292346,180.1,Limestone,Devonian,34.4,,,,,,10700.0,135.0,1497.0,19100.0,45.4,1579.0,10.36,476.5,22.88,19.42,10.12,1.79,,,25.17,,6.0
Bad Nauheim,Sprudel XII,50.36848845522599,8.744621511292346,180.1,Limestone,Devonian,32.48,,,,,,10640.0,123.1,1465.0,18640.0,46.4,1995.3,,376.2,,23.2,17.8,1.4,,,,,6.0
Bad Nauheim,Sprudel XII,50.36848845522599,8.744621511292346,180.1,Limestone,Devonian,33,,6.19,,,,10416.0,126.9,1412.0,18124.0,44.38,2059.0,2.19,345,48.05,19.49,15.11,1.92,1,,31.07,,6.0
Bad Nauheim,Sprudel XII,50.36848845522599,8.744621511292346,180.1,Limestone,Devonian,33.1,34500.0,6.3,,,,10300.0,120.0,1400.0,18150.0,45.1,2080.0,,330,,20.5,14.4,,,1.4,,,6.0
Bad Nauheim,Sprudel XII,50.36848845522599,8.744621511292346,180.1,Limestone,Devonian,33,31200.0,6.3,,,,10800.0,117.0,1440.0,18600.0,45.4,2123.0,,320,,22.8,13.1,,,1,,,6.0
Bad Nauheim,Sprudel XII,50.3692164025226,8.7444770291448,180.1,Limestone,Devonian,32.7,48500.0,5.98,210.0,,0.6,9926.0,107.0,1310.0,17200.0,38,2166.0,11.7,579,37.5,45.7,13.4,1.78,0.12,2.5,22.8,,6.0
Bad Nauheim,Sprudel XII,50.3692164025226,8.7444770291448,180.1,Limestone,Devonian,30.8,51800.0,6.21,208.0,,0.53,12386.0,144.0,1661.0,21905.0,50.4,2390.0,12.3,433,49.2,30.8,,1.167,5.49,11.1,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,32.2,,,,,,8952.0,119.2,1331.0,16060.0,43.36,1412.0,6.85,373.1,20.84,25.43,10.8,1.42,,,22.43,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,31.37,,,,,,9504.0,114.6,1362.8,16583.0,37.3,1952.0,,285,,21.1,14.4,1.8,,,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,31.12,,6.17,,,,9020.0,114.2,1303.0,15729.0,40.98,2010.0,2.16,311.8,47.88,12.99,13.88,1.97,1.2,,28.06,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,30.95,41515.2,6.18,,,,8490.0,110.7,1214.2,14816.0,36.91,1958.2,8.159,300.52,41.99,19.48,17.96,2.57,0.707,0.27,22.53,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,30.5,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,30.7,30700.0,6.2,,,,8500.0,107.5,1250.0,14850.0,40.7,2001.0,,260,,15.8,12.6,,,0.8,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Nauheim,Sprudel XIV,50.36861494357853,8.744901978969692,209.4,Limestone,Devonian,30.9,30100.0,6.09,,,,8620.0,97.0,1280.0,18100.0,17,1900.0,,278,,19.7,8.2,,,2.3,,,6.0
Bad Nauheim-Niedermörlen,Selzerbrunnen,50.37999037153921,8.758437658248896,0,Unconsolidated rocks,Quaternary,13.9,,5.75,,,,3114.7,78.1,352.6,5185.0,24.9,913.2,,286,,,11.1,,,20,,,6.0
Bad Nauheim-Rödgen,Schachtbrunnen,50.36795421582986,8.764121619348831,n.s.,Unconsolidated rocks,Quaternary,n.s.,,6.2,,,,320.2,47.4,183.2,483.2,71.6,739.3,,17.5,,,3.5,,,,,,6.0
Bad Nauheim-Schwalheim,Germaniabrunnen,50.35495178853797,8.781752661316458,5.8,Unconsolidated rocks,Neogene/Paleogene,10.5,,,,,,571.6,74.02,227.8,939.9,62.08,961.7,1.073,36.52,0.539,,6.003,0.578,,,25.12,,6.0
Bad Nauheim-Schwalheim,Germaniabrunnen,50.35495178853797,8.781752661316458,5.8,Unconsolidated rocks,Neogene/Paleogene,11.4,,5.68,,,,490.5,71.73,215.4,824.2,56.28,899.1,0.8991,28.53,0.7992,0.6294,4.745,0.5395,,2.198,22.22,,6.0
Bad Nauheim-Schwalheim,Löwenquelle,50.35521433221483,8.777957049385357,21.3,Unconsolidated rocks,Neogene/Paleogene,10.4,,,,,,911.8,107.9,306.9,1467.0,90.39,1348.0,,54.29,,,6.61,,,,19.5,,6.0
Bad Nauheim-Schwalheim,Löwenquelle,50.35521433221483,8.777957049385357,21.3,Unconsolidated rocks,Neogene/Paleogene,10.4,,,,,,838.6,98.83,288.2,1352.0,82.47,1293.0,1.1,66.51,0.2,,9.12,1,,,18.4,,6.0
Bad Nauheim-Schwalheim,Löwenquelle,50.35521433221483,8.777957049385357,21.3,Unconsolidated rocks,Neogene/Paleogene,10.7,,5.81,,,,746.1,86.15,273.4,1220.0,72.14,1146.5,,47.54,,,8.57,0.5,,,21.7,,6.0
Bad Nauheim-Schwalheim,Schwalheimer Acidulous water,50.35530477705216,8.778237695337692,5.4,Unconsolidated rocks,Quaternary,10.3,,,,,,591.4,76.38,225.6,934.9,53.43,1065.0,1.455,48.17,0.638,Traces,4.5412,4.085,,,24.38,,6.0
Bad Nauheim-Schwalheim,Schwalheimer Acidulous water,50.35530477705216,8.778237695337692,5.4,Unconsolidated rocks,Quaternary,10.1,,5.72,,,,443.8,63.86,186.4,705.0,45.93,857.1,,34.22,,,4.3,0.6,,,23.14,,6.0
