location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Volkmarsen,Sauerbrunnen II,51.40763749608108,9.138129738250095,35.1,Sandstone,Triassic,10.2,,5.4,,,,20.1,32.1,120.5,15.2,140.6,376.5,,3.8,,,0.17,0.5,,,54.7,,6.0
Volkmarsen,Sauerbrunnen III,51.40790734361103,9.137986814962463,36,Sandstone,Triassic,10.5,,5.6,,,,16.4,27.4,118.6,14.8,202,269.1,,3,,,0.8,0.4,,,45.8,,6.0
Volkmarsen,Stadtwiese/Stadtbruch,51.41252084497356,9.110688055224815,58.5,Sandstone,Triassic,11,,,,,,84.2,33.8,199.0,140.0,284,457.5,,,,,,,,,,,6.0
Volksmaren,Engelsgrund,51.39031257657941,9.11551962075824,120.3,Sandstone,Triassic,8,,6.4,,,7.2,8.5,16.9,60.0,12.0,33.2,219.776,,,,,0,0,,9,,,6.0
Wabern,Brunnen Zuckerfabrik,51.10349215773843,9.361973507674378,43.5,Sandstone,Triassic,11.2,,,,,,29.0,0.0,654.4,22.3,1494.5,228.7,,,,,,,,,,,6.0
Walluf-Niederwalluf,Waldaffaquelle,50.03661619925643,8.15994373734291,115,Unconsolidated rocks,Paleogene,n.s.,,,,,,963.27262,59.54725000000001,72.14040000000001,1361.3952,168,518.64535,,,,,,,,,,,6.0
Walluf-Niederwalluf,Waldaffaquelle,50.03661619925643,8.15994373734291,115,Unconsolidated rocks,Paleogene,14.6,,7.6,,,,925.0,45.8,49.0,1210.0,102.6,685.8,,29,,3.55,2.72,,,,19.5,,6.0
Warburg-Germete,Franziskusquelle,51.48498489323781,9.098625236095765,9,Sandstone,Triassic,10,,,,,,1006.0,190.6,846.5,1840.0,1355,1459.0,,42.7,,,8.49,0.79,,,56.2,,6.0
Wetter (Hesse),Schoellerquelle,50.90211440707775,8.73797441492753,100,Conglomerate,Permian,11.5,,6.95,,,,2492.78,73.89,162.72,1637.93,3380.44,439.32,,36.36,,1.08,3.07,0.05,,0.62,,,6.0
Wetter (Hesse),Schoellerquelle,50.90211440707775,8.73797441492753,100,Conglomerate,Permian,11.1,,7.4,,,,1839.18,55.66,133.46,1226.67,2334.32,439.32,,32.06,,0,1.4,0,,2.48,,,6.0
