Beta,RMSE_Test,R2_Test,MSE_Train,KLD_Train,Quant_Error_Latent,Topo_Error_Latent
0.05,0.7018051551339523,0.6410809217683369,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
0.1,0.6981754972452056,0.6447839000280565,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
0.3,0.6974045877654584,0.645567909997644,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
0.5,0.6998887682821556,0.6430384129254949,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
1.0,0.7007737798297398,0.6421350840573489,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
2.0,0.7009393462761718,0.6419659640832219,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
4.0,0.7001616073980359,0.6427600485004292,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
8.0,0.7023912095431692,0.6404812284392989,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
16.0,0.6969521159667907,0.6460276675168148,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
32.0,0.6981621189039507,0.6447975131001076,0.6451132242737304,7.192536311530996,0.9268320416596878,0.27372013651877136
