spring number,spring location,spring name,longitude,latitude,type,well_depth_(m),flow_rate_mean_(m^3_s^-1),flow_rate_min_(m^3_s^-1),flow_rate_max_(m^3_s^-1),temp_mean_(degr_C),temp_min_(degr_C),temp_max_(degr_C),reference,reference_DOI,reference_link,EC_(S_m^-1),pH,sample_temperature_(degr_C),TDS_(mg L^-1),TDS_min_(mg L^-1),TDS_max_(mg L^-1),Na_(mg L^-1),Ca_(mg L^-1),Mg_(mg L^-1),K_(mg L^-1),NH4_(mg L^-1),Cl_(mg L^-1),F_(mg L^-1),SO4_(mg L^-1),HCO3_(mg L^-1),CO3_(mg L^-1),NO3_(mg L^-1),Si_(mg L^-1),Li_(mg L^-1),SiO2_(mg L^-1),reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O_(permille),delta_2H_(permille),3H_(TU),delta_14C_(pmc),delta_13C_(permille),reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature_(degr_C),flow_rate_(m^3_s^-1),log_flow_rate_(m^3_s^-1),log_temperature_(degr_C),geometry,recharge_(m_a^-1),lithology,gw_lvl_depth_(m),gw_lvl_elev_(m),surface_temp_(degr_C),elevation_(m),contributing_area_(m^2),log_contrib_area_(m^2),geometry_ws,watershed_area_(m^2),mean_recharge_ws_(m_a^-1),min_recharge_ws_(m_a^-1),max_recharge_ws_(m_a^-1),mean_gw_lvl_depth_ws_(m),min_gw_lvl_depth_ws_(m),max_gw_lvl_depth_ws_(m),mean_gw_lvl_elev_ws_(m),min_gw_lvl_elev_ws_(m),max_gw_lvl_elev_ws_(m),mean_surface_temp_ws_(degr_C),min_surface_temp_ws_(degr_C),max_surface_temp_ws_(degr_C),mean_elevation_ws_(m),min_elevation_ws_(m),max_elevation_ws_(m),ws_relief_(m),recharge_temp_max_(degr_C),recharge_temp_min_(degr_C),recharge_temp_best_(degr_C),rch_elev_max_(m),rch_elev_min_(m),rch_elev_best_(m),circulation_temp_best_(degr_C),circulation_temp_min_(degr_C),circulation_temp_max_(degr_C),circ_depth_best_(m),circ_depth_min_(m),circ_depth_max_(m),h_circ_depth_(m),Hv_down_min_(W),Hv_up_min_(W),Hv_down_best_(W),Hv_up_best_(W),Hv_down_max_(W),Hv_up_max_(W),Hv_ratio_min_(W),Hv_ratio_best_(W),Hv_ratio_max_(W),H_net_best_(W),H_net_min_(W),H_net_max_(W),H_down_best_(W),H_down_min_(W),H_down_max_(W),H_up_best_(W),H_up_min_(W),H_up_max_(W),Hv_net_best_(W),Hv_net_min_(W),Hv_net_max_(W),thermal_footprint_net_best_(m^2),thermal_footprint_net_min_(m^2),thermal_footprint_net_max_(m^2),thermal_radius_net_best_(m),thermal_radius_net_min_(m),thermal_radius_net_max_(m)
71,Bormio - Central Italian Alps,Ostrogoti,10.357291,46.492916,spring,,0.0005,,,,34.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,0.0005,-3.3010299956639813,1.5378190950732742,POINT (10.357291 46.492916),0.5501185658300547,1.0,110.08182525634766,1447.918212890625,4.487499934931597,1347.0,28682.544055192753,4.457617669315537,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,4.487499934931597,0.0,0.0,3317.0,1347.0,2332.0,,,,,,,2245.5648193359375,5255.389561157227,4407.460438842773,423.96456115722657,4407.460438842773,-4407.460438842773,4407.460438842773,0.15400035823689082,0.06698457625514843,0.0,67296.0,53082.783261035256,72127.425,,,,,,,4831.425,9662.85,0.0,885473.6842105263,698457.674487306,949045.0657894737,530.9002049724547,471.51456273401516,549.6275346766531
72,Bormio - Central Italian Alps,Palestra,10.3643,46.49119,spring,,7e-05,,,,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.25,-87.33,,,,,,,18.5,7e-05,-4.154901959985743,1.2671717284030135,POINT (10.3643 46.49119),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.6416665961345025,1580.0,4015.556167726985,3.6037457049937753,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,5.6416665961345025,0.0,0.010416626154134523,3317.0,1580.0,2448.5,,,,,,,2362.0648193359375,655.7539885620116,537.0439114379882,59.355038562011714,537.0439114379882,-537.0439114379882,537.0439114379882,0.3169369067655971,0.11020476591556146,0.0,4815.3356972743195,2570.7205623107957,5414.7835,,,,,,,596.3989499999999,1192.7978999999998,0.0,63359.68022729368,33825.270556721,71247.15131578947,142.01412817671073,103.76376063465408,150.59439772530803
73,Bormio - Central Italian Alps,Pliniana,10.359989,46.490844,spring,,0.0016699999999999998,,,,36.0,38.0,,,,,7.7,38.0,,,,25.37,257.8,,3.63,,14.2,2.82,753.0,,,,,,,,,,-13.49,-103.2,2.3,,,,,,37.0,0.0016699999999999998,-2.7772835288524167,1.568201724066995,POINT (10.359989 46.490844),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.6416665961345025,1318.0,95799.69714434378,4.981364136127102,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,5.6416665961345025,0.0,0.010416626154134523,3317.0,1318.0,2317.5,,,,,,,2231.0648193359375,17790.550284265133,14958.467015734861,1416.0416342651365,14958.467015734861,-14958.467015734861,14958.467015734861,0.14956070367229404,0.06339588043574257,0.0,241915.28143497303,186219.04380084327,258362.52699999997,,,,,,,16374.508649999998,32749.017299999996,0.0,3183095.8083549086,2450250.5763268853,3399506.934210526,1006.5837592915714,883.1415413581101,1040.2387539933127
74,Bormio - Central Italian Alps,San Carlo,10.36117,46.490823,spring,,7e-05,,,,18.0,19.0,,,,,7.7,19.1,,,,20.47,210.6,,3.13,,12.07,2.43,640.0,,,,,,,,,,-13.34,-98.92,,,,,,,18.5,7e-05,-4.154901959985743,1.2671717284030135,POINT (10.36117 46.490823),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.6416665961345025,1374.0,4015.556167726985,3.6037457049937753,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,5.6416665961345025,0.0,0.010416626154134523,3317.0,1374.0,2345.5,,,,,,,2259.0648193359375,726.4840885620116,607.7740114379882,59.355038562011714,607.7740114379882,-607.7740114379882,607.7740114379882,0.35452412771764824,0.1232745309003661,0.0,4744.60559727432,2429.260362310796,5414.7835,,,,,,,667.1290499999999,1334.2580999999998,0.0,62429.021016767365,31963.952135668373,71247.15131578947,140.96728192886707,100.86843890082136,150.59439772530803
75,Bormio - Central Italian Alps,San Martino,10.360826,46.491967,spring,,0.00417,,,,39.0,40.0,,,,,8.5,33.0,,,,18.23,171.4,,2.68,,10.65,2.07,533.0,,,,,,,,,,,,,,,,,,39.5,0.00417,-2.3798639450262424,1.59659709562646,POINT (10.360826 46.491967),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,239212.41742030758,5.378783719953276,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,42929.979540051274,35858.25065994873,3535.8644400512694,35858.25065994873,-35858.25065994873,35858.25065994873,0.12650054023910234,0.057198793785592096,0.0,649328.7143999999,544040.969193774,688722.8295,,,,,,,39394.1151,78788.2302,0.0,8543798.87368421,7158433.805181238,9062142.493421054,1649.11359434686,1509.5033122790555,1698.4020565408382
80,Comano (Lomaso),Terme di Comano,10.886388900000002,46.04222222,spring,,0.0008300000000000001,,,27.0,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0008300000000000001,-3.0809219076239263,1.4313637641589874,POINT (10.8863889 46.04222222),0.6011587264916288,6.0,6.491026401519775,495.5089721679688,10.033333379775287,419.0,43570.536109259556,4.639192903701205,,140500000.0,0.5442938585899354,0.487428990688242,0.6011587264916288,68.15565882269607,-0.0,482.2007751464844,1034.9238641795228,429.0,2560.619140625,7.537269501991783,-0.512500007947286,10.283333477253716,1100.4451535700039,393.0,2686.0,2293.0,10.033333379775287,0.0,4.7604166859140005,2686.0,419.0,1552.5,,,,,,,1489.8095703125,9739.741335644532,8718.85276435547,510.4442856445313,8718.85276435547,-8718.85276435547,8718.85276435547,0.31348204602155394,0.11957835025858797,0.0,67952.70981028586,40423.86610549085,93702.93300000002,,,,,,,9229.297050000001,18458.594100000002,0.0,894114.6027669192,531892.975072248,1232933.3289473688,533.4843178969774,411.4690660999987,626.4621837026071
82,Courmayeur,Thermes de Pré Saint Didier,6.9867,45.7575,spring,,,,,,17.0,36.0,,,,,,,948.0,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,26.5,,,1.4232458739368081,POINT (6.9867 45.7575),0.4972797815063527,8.0,399.3951721191406,1091.6048583984377,5.2708333532015486,1261.0,,,,141500000.0,0.4764183794809611,0.4664067490625137,0.4864300098994085,78.60686996273665,-0.0,462.3719787597656,2245.9208004735096,1088.0,3214.409423828125,0.486269340401125,-5.179166687031587,6.008333310484886,2322.467491025129,1062.0,3279.0,2217.0,5.2708333532015486,0.0,0.04583333308498094,3279.0,1261.0,2270.0,,,,,,,2237.7047119140625,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Craveggia (Comano),Delle Terme,8.519166667,46.14638889,spring,,0.002,,,27.2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,0.002,-2.6989700043360187,1.434568904034199,POINT (8.519166667 46.14638889),0.939513476284978,8.0,58.60301971435547,1100.39697265625,7.154166656856736,1292.0,67178.59998088583,4.827230948792465,,169400000.0,0.8516847647214377,0.6712064244489402,0.9443343934303948,99.01545886863215,-0.0,506.5874938964844,1135.8898232865006,326.3218994140625,2055.64599609375,6.6625141746368755,1.4291666767870386,10.37083332737287,1227.29799143892,338.0,2334.0,1996.0,7.154166656856736,1.4291666767870386,4.291666666821888,2334.0,1292.0,1813.0,,,,,,,1673.822998046875,12952.672778320313,7491.367221679688,2730.6527783203123,7491.367221679688,-7491.367221679688,7491.367221679688,0.1219554695084966,0.053358290659920204,0.0,181351.2083320353,147191.24591536986,215511.1707487007,,,,,,,10222.02,20444.04,0.0,2386200.1096320436,1936726.9199390772,2835673.2993250093,871.5222804430904,785.1619740250359,950.0646531486991
84,Craveggia (Comano) - Piemont,Craveggia,8.5416,46.1968,spring,,0.00013000000000000002,,,25.7,,,,,,0.0361,9.34,25.7,310.0,,,63.0,18.2,0.1,1.3,,0.9,2.6,150.0,31.0,,,,0.02,,,,,-11.13,-73.3,,,,,,,25.7,0.00013000000000000002,-3.886056647693163,1.4099331233312946,POINT (8.541600000000001 46.1968),0.9254008417809636,8.0,81.68061828613281,1076.382080078125,7.074999979076287,1047.0,4433.201067879548,3.646717429176683,,144400000.0,0.8092450932741305,0.5942869895915682,0.9254008417809636,111.49825812383676,-0.0,555.0778198242189,1360.3176406158063,470.0008544921875,2234.00390625,5.39143907646479,0.4333333264415463,10.141666665673256,1474.638942868247,381.0,2434.0,2053.0,7.074999979076287,0.4333333264415463,3.7541666527589164,2434.0,1047.0,1740.5,,,,,,,1640.501953125,1011.9480591796877,756.8930408203125,127.52750917968751,756.8930408203125,-756.8930408203125,756.8930408203125,0.1747180838522711,0.07413991220828696,0.0,11044.654136726489,8355.131536373483,13734.176737079497,,,,,,,884.4205500000002,1768.8411000000003,0.0,145324.39653587487,109935.94126807214,180712.8518036776,215.0771771273335,187.06602297731126,239.83887776917413
85,Dolomiti Bellunesi National Park,Fontanon,12.02082,46.20346,spring,,0.22,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.22,-0.6575773191777937,0.8976270912904415,POINT (12.02082 46.20346),0.5837427094534766,6.0,236.2261047363281,563.77392578125,8.741666633014878,729.0,11893376.803797701,7.075305178339941,,114400000.0,0.5507713389658314,0.5177999684781862,0.5837427094534766,84.72880361920194,-0.0,739.7491455078125,1159.8136083858528,352.6483459472656,2261.081787109375,6.442418386370799,0.8916666929920515,10.416666805744173,1244.4100438810335,334.0,2589.0,2255.0,8.741666633014878,0.8916666929920515,4.816666663003465,2589.0,729.0,1659.0,,,,,,,1495.0408935546875,2360982.5435302733,1653269.4564697265,353856.5435302734,1653269.4564697265,-1653269.4564697265,1653269.4564697265,1.0,0.707652668928977,0.0,829189.1700363946,0.0,6446867.692450315,,,,,,,2007126.0,4014252.0,0.0,10910383.81626835,0.0,84827206.4796094,1863.5672863564253,0.0,5196.281212541656
