location,well_or_spring_name,utm_e,utm_n,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Vzhodna Slovenija,Mt-5/82,46.68339286,16.22204999,1301.5,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Mt-6/82,46.68290701,16.22205209,974,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.106,43.22666667,10.89055556,601,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.105,43.2275,10.87166667,710,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Or-1g/05,46.41620588,16.1514689,1500,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,P-12o/92,46.37997646,15.06724054,1603,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.104,43.22805556,10.86722222,519,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,PAN-1/76,46.76407079,16.21234206,2744,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.103,43.23944444,10.87444444,591,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.102 BIS,43.23833333,10.87027778,622,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.101,43.23361111,10.86222222,432,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.100 BIS,43.22305556,10.86388889,1467,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.097,43.22972222,10.86,870,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Sob-3g/12,46.66691323,16.14542139,1520.28,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Sob-4g/13,46.66572781,16.16035976,1201.15,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Sre-1/91,46.76749135,16.32402494,2708,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.096,43.22972222,10.86,408,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Šal-1/62,46.79303103,16.24330526,2985,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Šal-2/79,46.78751356,16.25669512,3288,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.095,43.23194444,10.85694444,753,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,T-5/03,46.64198375,16.04934542,830,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.094 BIS,43.23416667,10.86611111,700,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.094,43.23416667,10.86611111,515,,,,,,,,,,,,,,,,,,,,,,,,
Vzhodna Slovenija,Ve-2/57,46.57443015,16.16542644,2015,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.089,43.23555556,10.87805556,356,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.088,43.23388889,10.87805556,431,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.085,43.23722222,10.87611111,416,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.084,43.23777778,10.8875,542,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.083,43.23333333,10.87166667,537,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.082,43.23138889,10.87027778,460,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.080,43.23055556,10.8875,483,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.079,43.23305556,10.88861111,442,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.078,43.22833333,10.88361111,609,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.077,43.23027778,10.87944444,544,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.076,43.23277778,10.88,1511,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.075,43.22305556,10.87444444,624,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.073,43.22333333,10.88388889,841,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.072,43.225,10.88055556,800,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.071,43.23027778,10.87333333,543,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.070,43.23166667,10.87527778,760,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.069,43.22777778,10.87888889,715,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.068,43.23555556,10.88611111,828,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.065,43.23277778,10.88972222,411,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.062,43.23138889,10.87833333,578,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.059,43.22583333,10.87888889,1561,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.058,43.22888889,10.88194444,357,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.057,43.23,10.88638889,486,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.056,43.22694444,10.88583333,558,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.055,43.23694444,10.88638889,243,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.054,43.23583333,10.88222222,394,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.053,43.23694444,10.88055556,499,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.052,43.22416667,10.88666667,806,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.051,43.22916667,10.87555556,612,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.049,43.23138889,10.88166667,501,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.043,43.23833333,10.88222222,580,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.006,43.22972222,10.87805556,525,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.005,43.23333333,10.87638889,596,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.002,43.22666667,10.88222222,701,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POSSERA,43.23333333,10.8825,155,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POGGIONE 002,43.23361111,10.88277778,216,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POGGETTO LL,43.23416667,10.8875,488,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PINETA,43.225,10.88861111,316,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PACCIANA 004,43.23388889,10.89027778,618,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PACCIANA 003,43.23527778,10.88777778,421,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PACCIANA 002,43.23583333,10.88777778,402,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,PACCIANA 001,43.23583333,10.88583333,368,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,ORTO LL,43.23027778,10.88333333,338,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,NUOVA CABINA,43.23222222,10.8875,464,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MUSI,43.23527778,10.88444444,401,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MORBO 001,43.22833333,10.88555556,304,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MINIERA 004,43.22944444,10.84805556,3802,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MAGAZZINO,43.23361111,10.88472222,177,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LUSCHI,43.2325,10.88527778,400,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LAMARELLO 001 A,43.23138889,10.90972222,1438,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LAMARELLO 001,43.23138889,10.90972222,3410,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LAGON BORICO,43.235,10.88611111,212,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LABORATORIO,43.23416667,10.8825,213,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,FRANATE 002 A,43.2425,10.90888889,2648,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,FRANATE 002,43.2425,10.90888889,1649,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,FABIANI,43.23666667,10.88722222,441,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,COLOMBI,43.23583333,10.88527778,283,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CIABATTINO 002,43.23472222,10.88638889,322,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CIABATTINO 001,43.235,10.88611111,247,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CHITARRA,43.23444444,10.885,156,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CENTRO,43.23388889,10.88555556,234,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASETTA,43.23277778,10.88333333,51,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASANUOVA 002 A,43.23138889,10.87722222,3225,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASANUOVA 002,43.23138889,10.87722222,2952,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CAPANNO LL,43.23416667,10.88444444,175,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CAMPO SPORTIVO,43.23861111,10.88527778,467,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BUCA DEL PRETE,43.23388889,10.88194444,339,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BUCA DEL GENERALE,43.23333333,10.8825,201,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,BELLI,43.23305556,10.88222222,380,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,ALLORO,43.23111111,10.88416667,345,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,AIA DEI SERPI,43.22583333,10.88611111,900,,,,,,,,,,,,,,,,,,,,,,,,
Emilia-Romagna,CASAGLIA 003,44.87805556,11.55777778,1950,,,,,,,,,,,,,,,,,,,,,,,,
Emilia-Romagna,CASAGLIA 002,44.88,11.54361111,1960,,,,,,,,,,,,,,,,,,,,,,,,
Emilia-Romagna,CASAGLIA 001,44.87833333,11.55694444,3799,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MONTIERI 001,43.16861111,11.03694444,2219,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,VASCA,43.21472222,10.90694444,175,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,TOMMI,43.21666667,10.90611111,233,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,TANI,43.21722222,10.90583333,269,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,STOLFI,43.21166667,10.91083333,141,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SPERIMENTALE 002 CN,43.21472222,10.90555556,1377,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SPERIMENTALE 001 CN,43.23194444,10.85555556,724,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,SABATELLI,43.21638889,10.90777778,224,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.MARZIO,43.21222222,10.90888889,125,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.LUIGI 003,43.21805556,10.90722222,416,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.LUCIA,43.21472222,10.90694444,191,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.GIOVANNI,43.21444444,10.9075,158,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.FEDERICO CN,43.21361111,10.90777778,163,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.ANTONIO,43.21638889,10.91,271,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,S.ADRIANA CN,43.21416667,10.90694444,180,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,ROSSI VITTORIO,43.21472222,10.90777778,180,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,ROSSI ANTONIO,43.215,10.90194444,211,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.093,43.21361111,10.90444444,1058,,,,,,,,,,,,,,,,,,,,,,,,
