location,well_or_spring_name,utm_e,utm_n,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4170,494.42,,,,,,,,10.27,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4310,506.88,,,,,,,,10.08,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4270,524,,,,,,,,9.91,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,42.2,19850,7,-133,,0,,,,,,,,,,,0.09,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,,,,,,0.09,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,36.7,19910,7,-117,,0,,,,,,,,,,,0.09,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,,,,1.38,,0.09,0.003,,,,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,7830,,,,,,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,Pelite,Carboniferous,,,,,,,,,,4034.86,554.87,,,,,,,,10.1456,,,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Carboniferous,,,,,,,,,,3915.72,544.75,,,,,,,,10.0842,,,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Carboniferous,,,,,,,,,,4078.01,570.36,,,,,,,,10.2901,,,
Steiermark,Blumau 2,47.12,16.04,2843,Psammite,Carboniferous,,,,,,,,,,,,,,,,,,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Cretaceous,,,,,,,,,,,,,,,,,,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,Sparitic limestone,Carboniferous,,,,,,,,,,,,,,,,,,,,,,
Steiermark,Blumau 2,47.12,16.04,2843,,Carboniferous,,,,,,,,,,3730,500.31,,,,,,,,10.44,,,
Steiermark,Blumau 2,47.12,16.04,2843,Pelite,Carboniferous,,,,,,,,,,4020,545.11,,,,,,,,10.46,,,
Steiermark,Blumau 2,47.12,16.04,2843,Chert,,,,,,,,,,,3850,520.36,,,,,,,,10.55,,,
Steiermark,Georgsquelle,47.02,14.41,53,Pelite,,23.5,2270,6.2,272,,0,94,48,370,54,500,901,0.51,33,5,,0.99,1.3,1.4,,,
Steiermark,Georgsquelle,47.02,14.41,53,Micritic limestone,,25,2790,6.1,205,,0,130,64,460,78,730,1030,0.7,4.7,7.9,,1.2,0.84,2.3,,,
Steiermark,Georgsquelle,47.02,14.41,53,Breccia,,25.4,2850,6.1,201,,0,140,63,460,88,720,1040,0.72,48,8,,2,0.83,2.4,,,
Steiermark,Georgsquelle,47.02,14.41,53,Sparitic limestone,,25.4,2860,6.1,153,,0,140,63,460,79,730,1040,0.73,48,8.1,,1.7,0.84,2.4,,,
Steiermark,Georgsquelle,47.02,14.41,53,,,21,2220,6.3,303,,0.2,86,55,370,55,520,889,0.47,31,5.2,,0.04,0.26,1.5,,,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,73,,,,2124.01,,92.42,77.4,426.2,77.28,1248.96,192.76,,8.99,14.2,,,,,,,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Micritic limestone,,73,2300,,,2101,,62,75,450,77,1250,180,,7,6.5,,,,,,,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,73,2170,7.11,,2063,,53.7,80,440,75.7,1275.8,178.9,,7.3,5.87,,0.153,,,,,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,,,,,,,,,,,,,,,,,,,,,,,,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,,,,,,,,,,,,,,,,,,,,,,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Micritic limestone,,67,,6.6,,1117,,57.93,56.16,224.8,76.93,619.68,209.84,,6.26,7.01,,,,,,,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Carbonatic siliciclastic rock,,67,1600,,,1232,,50,42,240,65,620,210,,5.5,3.8,,,,,,,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Chert,,67,1290,7.36,,1034,,46.9,39.9,216.9,68.5,528.3,196.3,,5.8,2.62,,5.067,,,,,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,famen,,,,,,,,,,,,,,,,,,,,,,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,cuis-thanet,,,,,,,,,,,,,,,,,,,,,,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,givet,71,,,,1937.96,,91.73,66,362,61.9,1125.98,222.96,,7.39,,,,,,,,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,frasn-givet,71,,6.7,,2272,,21.1,74.7,429.1,11.2,1464,266.2,,5.2,7.02,,41.306,,,,,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,Micritic limestone,variscan age,,,,,2211,,21.6,73.1,421,12.8,1402.1,274.7,,5.46,,,,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,126000,,39190,1700,8000,78460,708,,,1940,,,16,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,142000,,41000,1000,7400,81000,670,839,,,,,35,1,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,137500,,33500,970,10100,70900,652,350,,1790,,,40.3,4.51,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,147750,,38400,943,9580,71250,700,427,,1820,,,3.12,3.01,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,68,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,68,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Jurassic 145-201,5",73,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Triassic 201,5-252,5",73,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Jurassic 145-201,5",68,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800,,,,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,"Triassic 201,5-252,5",,130000,7.3,,136926.8,,37640,483.4,7308,87840,255.8,141.6,,3258,,,,,,,,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,"Triassic 201,5-252,5",,,,,,,,,,,,,,,,,,,,,,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,,,184000,5.47,,163215.4,,49800,557,9160,98100,323,1117,,2770,396,,809,13.6,0,,,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,Gneiss,,,,5.44,,165239.1,,49600,560,9130,100200,380,1129,,2870,400,,806,13.6,0,,,
Югозападен,"""Simitli"" town Simitli",41.89035865,23.1091756,422.2,Granite,,62.5,804,9.39,,561,,143.33,0,2.71,19.25,208.63,42.71,0.13,3.42,,,0.03,0,11.43,,,
Югозападен,"""Simitli"" town Simitli",41.89035865,23.1091756,422.2,,,60.6,784,9.4,,547,,144.19,0,2.41,18.97,203.49,36.61,0.14,3.3,,,0.02,0,11.5,,,
Югозападен,"Separeva banya, Kyustendilska region",42.28786944,23.25778611,460,,,98,821,9.07,,636,,142.49,0,4.61,9.4,214.6,79.32,0.07,8.04,,,0.01,0,14.84,,,
Южен централен,"Velingrad, Kamenitsa",42.04200278,23.98607778,,,,63,1120,7.9,,926,,179.8,0.125,16.27,25,464.1,134.64,0.458,8.68,0.289,,0.026,0.007,9.1,,,
Южен централен,"Velingrad, Kamenitsa",42.04200278,23.98607778,,,,58.9,835,7.9,,860,,172.08,0.103,14.9,28,393.7,153,0.403,6.42,0.288,,0.096,0.007,7,,,
Южен централен,"Velingrad, Kamenitsa",42.04200278,23.98607778,,,"Permian 252,5-296",88,817,7.9,,1002,,166.11,0.027,8.8,17.6,590.4,119.34,0.369,6.98,0.211,,0.036,0,9.5,,,
Южен централен,"Velingrad, Kamenitsa",42.04200278,23.98607778,,,"Permian 252,5-296",89,846,7.9,,861,,147.73,0.056,9.23,19.5,456,119.95,0.352,7.13,0.241,,0.042,0,9.4,,,
Южен централен,"Velingrad, Kamenitsa",42.04200278,23.98607778,,,,85.8,660,8.15,,752,,133.44,0.02,5.24,13.7,389.9,104.04,0.261,5.19,0.131,,0.041,0,7.9,,,
Югозападен,Sandanski,41.5684797,23.28241607,1016,,,81,697,7.68,,656,,146.5,0,10.02,12.94,138.88,210.51,0.07,5.56,,,0.03,0,6.1,,,
Югозападен,Sandanski,41.5684797,23.28241607,1016,,,83,943,7.44,,869,,194.08,0.97,10.62,13.65,145.05,370.18,0.11,10.06,,,1.88,0.07,6.55,,,
Югозападен,"Momin prohod, Kostenets",42.33117222,23.86958333,,,,64.5,1290,7.94,,940.04,,203.5,1.46,38.28,26.24,473,70.17,0,9.18,,,0.02,0.02,8.38,,,
Югозападен,"Dolna banya, town Dolna banya",42.31164722,23.77185278,0,,,60,812,8.45,,533.99,,128.35,0,8.02,17.02,241.55,42.1,0.15,3.88,,,0.02,0,12.24,,,
Югозападен,"Pchelinski bani, Kostenets",42.36559722,23.81796944,0,,Carboniferous 296-361,79,1232,8.15,,915,,223.05,0.97,30.86,18.79,440.51,78.3,0.15,9.91,,,0.02,0,9.48,,,
Югоизточен,"Pavel banya, Stara Zagora region",42.59821111,25.21390833,400,,Carboniferous 296-361,60.2,662,7.95,,652,,153.07,0.2,7.52,9.75,17.69,352.89,0.26,9.65,,,0.09,0,15.9,,,
Югозападен,Kyustendil,42.27466111,22.68139444,148.6,,,74.8,731,8.46,,541.09,,143.97,0,1.4,4.79,134.35,115.93,0,6.44,,,0.04,0,8.47,,,
Южен централен,"Varvara,  Pazardzhik  region",42.1489785054,24.1048062863,,,,71.2,1025,8.13,,768,,171.49,0,11.5,24.11,293.61,148.27,0.16,7.84,,,0.03,0,6.4,,,
Югозападен,"Marikostinovo, Blagoevgradska region",41.43807778,23.31929722,80,,,63,1095,7.52,,1043,,237.8,4.62,23.78,17.73,211.1,451.53,0.1,11.45,,,0.41,0,8.65,,,
Южен централен,"Мineralni bani, Haskovo region",41.93865833,25.35251667,196,,,57.5,1068.04,7.27,,1667,,317.3,3,176.35,62.8,857.16,136.68,0.1,20.18,,,0.49,0.84,4.05,,,
Южен централен,"Мineralni bani, Haskovo region",41.93865833,25.35251667,196,,"Jurassic 145-201,5",57.6,2040,7.25,,1690,,328,2.96,180.36,60.28,868.27,138.68,0.13,20.4,,,0.38,0.8,4.08,,,
Югозападен,"Rupite, Blagoevgrad region",41.45811389,23.26225833,,,"Jurassic 145-201,5",74,2160,6.97,,2296,,501,13.38,31.06,36.17,92.56,1495,0.32,40.42,,,0.1,0.01,5.99,,,
Югозападен,"Rupite, Blagoevgrad region",41.45811389,23.26225833,,,Carboniferous 296-361,74.1,2230,7.06,,2329,,509.5,14.35,31.66,36.45,80.24,1526,0.23,40.56,,,0.41,0.02,6.09,,,
Южен централен,"Erma reka, Smolyan region",41.41564444,24.97023889,,,"Triassic 201,5-252,5",87.8,1339,6.69,,1254,,179.7,7.54,93.59,51.71,192.17,510.12,0.94,23.25,,,0.27,0.45,5.29,,,
Jihovýchod,Něm-5,48.963056,16.783611,5074,Micritic limestone,"Triassic 201,5-252,5",113,,10.2,,55335,,43.7,4592,,,1656.9,,,16582.77,,,,1.5,,,,
Jihovýchod,Jarošov-1,49.169722,16.622778,5578,Psammite,"Triassic 201,5-252,5",84,,7.5,,17421.4,,11.2,87.2,,,2537.6,,,6223.42,,,,15.9,,,,
Moravskoslezsko,Jabv-1,49.566111,18.760278,3200,Dolomite,"Jurassic 145-201,5",90,,7,,15386,,54,215,,,866.2,0,,5368.22,0.5,,,18.7,,,,
Jihovýchod,NEM-2A,48.947222,16.828056,5493.5,Sparitic limestone,"Jurassic 145-201,5",142,,7.4,,37433.9,,85.4,2960,,,976,,,1092.3,,,,,,,,
Severozápad,Vřídlo,50.222778,12.883611,48.1,Granite,,72.5,,6.93,,6583.39,,12.16,197.59,,,2141.16,,,1730,0.07,,0.3,1.12,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",50,189000,5,,,,41400,930,22000,109000,,114,131,4400,1120,,105,130,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",55,191000,5,,,,42000,956,22500,111000,,115,137,4430,1120,,96.1,132,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",55,194000,5,,,,45300,1040,24500,120000,,108,141,4600,1190,,102,139,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",60,201000,5,,,,47000,1090,25300,125000,,103,159,4930,1260,,111,158,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",,214000,5,,,,53700,1260,29200,141000,,111,188,5710,1460,,138,198,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",90,231000,4,,,,65200,1600,34900,172000,,23,176,6120,1870,,177,253,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",90,235000,4,,,,65500,1620,35100,173000,,21,179,6200,1890,,177,258,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",90,236000,4,,,,66500,1650,36500,178000,,43,180,6280,1920,,178,260,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",90,237000,5,,,,66700,1640,36300,177000,,42,182,6300,1950,,182,260,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",,233000,5.1,,336000,,74470,1870,42560,204420,104,34,188,6870,1870,,559,333,,,,
Lüneburg,Horstberg Z1,52.903352,10.327991,4134,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Karlsruhe,Brühl Gt 1,49.387109,8.52875,3423,,"Jurassic 145-201,5",153,,5.2,,106526,,26560,120,8100,67320,80,40,,4310,,,,,,,,
Karlsruhe,Leopoldshafen 2,49.09372,8.416901,1300,,"Jurassic 145-201,5",80,,6.8,,116714.32,,38277.65,607,3890,59023.17,,14916.51,,,,,,,,,,
Karlsruhe,Leopoldshafen 2,49.09372,8.416901,1300,,"Jurassic 145-201,5",85,,6,,121619.58,,39214.1,778,4260,60467.16,,16900.32,,,,,,,,,,
Karlsruhe,Leopoldshafen 2,49.09372,8.416901,1300,Andesite,"Jurassic 145-201,5",79.4,,6.2,,133535.63,,43584.23,730,4530,67205.79,,17485.6,,,,,,,,,,
Karlsruhe,Leopoldshafen 2,49.09372,8.416901,1300,,"Jurassic 145-201,5",79.4,,6.8,,122587.39,,40189.58,560,4210,61971.32,,15656.5,,,,,,,,,,
Karlsruhe,Leopoldshafen 2,49.09372,8.416901,1300,Gneiss,"Jurassic 145-201,5",79.4,,6.4,,70167.91,,25752.55,106,1000,39709.78,,3599.59,,,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,Syenite,"Jurassic 145-201,5",78.1,19800000,6.19,,260247,,76800,2080,20080,159840,590,,,857,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,,"Jurassic 145-201,5",78.1,19900000,6,,265874,,78980,2120,20310,163000,645,,,819,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,,"Jurassic 145-201,5",56.1,19500000,6.38,,233376,,78000,2120,9240,142100,1550,,,366,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,,"Jurassic 145-201,5",56.1,19600000,6.53,,239049,,79800,2200,9630,145660,1385,,,374,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,Granite,"Jurassic 145-201,5",56.1,22500000,6.28,,285304,,94800,2640,11510,175020,905,,,429,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,,"Jurassic 145-201,5",53.3,5180000,8.47,,36221,,11300,210,1959,18800,3850,,,111,,,,,,,,
Freiburg,Offenburg 11a,48.460854,7.809558,1501,,,53.3,4910000,8.46,,33815,,10500,190,1860,17700,3450,,,115,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,,99,,5.1,196,217000,,72700,1400,8700,131400,,,,828,450,,82,18,0.13,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",98,,5.3,-10,220000,,80010,1410,8409,137000,470,40,10,782,440,,60,8.3,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",100,,5.3,,220000,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,5.5,,215000,,74000,1410,8330,128600,647,153,,782,421,,71.4,12.8,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,Dolomite,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,Granite,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,Dolomite,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",92,,5.2,,,,72300,1380,8840,131700,481,118.3,,792,564,,82,18,,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,133221.86,436.37,,,,,,,,0.55,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,,,,,,,,,137168.7,448.7,,,,,,,,0.57,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 1/88,53.37012,11.58618,2455,,"Jurassic 145-201,5",,218000,5.5,,,,74000,1400,7900,130000,460,91.8,22.3,890,400,,84.8,13.5,2.8,,,
Mecklenburg-Vorpommern,Neustadt-Glewe Gt NG 2/89,53.372169,11.606396,2335,,"Jurassic 145-201,5",70,,5.2,,,,73000,1400,8612,131100,463,120.2,,864,440,,82,18,,,,
Lüneburg,Dethlingen Z 1,53.063505,9.996518,4930,Dolomite,"Jurassic 145-201,5",,,6.8,,305500,,,,,,,,,,,,,,,,,
Lüneburg,Dethlingen Z 1,53.063505,9.996518,4930,,"Jurassic 145-201,5",,,5.4,,299300,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,Neubrandenburg Gt N1/86,53.55399,13.24766,1285,,"Jurassic 145-201,5",55,,6,,130000,,48000,631,2000,82000,1020,159,,186,107,,12.6,0.73,,,,
Mecklenburg-Vorpommern,Neubrandenburg Gt N1/86,53.55399,13.24766,1285,,"Jurassic 145-201,5",55,,6.2,98,134000,,49600,638,2080,81800,1000,,,181,106,,14,0.8,0.5,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,"Jurassic 145-201,5",,,5.7,-129,265700,,38400,430,54000,167300,140,18.9,204,2900,1900,,114,270,,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,,,198300,5.9,,265300,,38150,420,52500,160000,120,162,192,2800,1400,,200,270,,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,,,,5.7,,259100,,37900,391,54000,160300,62,148,194,3070,1472,,193,252,,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,,,,5.5,,261900,,38700,379,56500,160400,51,112,230,3130,1550,,57,257,,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck E GrSk 3/90,52.9039,13.6016,4309,,Triassic,150,,,,265000,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic,80,,6.61,,254200,,38100,198,51800,151603.8,54.4,1024,206,1580,1400,,58,227,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,84,,6.57,,252700,,38000,189,52100,157531.9,41.5,1024,207,1660,1390,,62.2,221,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic,94,,6.55,,251600,,38400,185,52400,145438,42.6,1036,201,1600,1410,,60.6,219,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,96,,6.59,,251400,,37000,180,52200,153895.4,40.2,1013,199,1520,1380,,65.3,214,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,100,,6.67,,267200,,36300,183,50800,153804.2,44.7,1062,198,1530,1350,,66.4,206,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,98,,6.67,,261400,,38200,187,52700,160888.2,47.3,1074,204,1520,1430,,65.2,219,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,144.83,,7.73,,268900,,39200,397,54000,160437,190.8,,212,2740,1650,,47.8,201,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,131.25,,7.6,,256100,,39600,382,53800,141903,144,,215,3120,1570,,63.5,148,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,121.76,,7.58,,253300,,38000,344,52900,143553,175.9,,203,2620,1520,,95.3,167,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,106.5,,7.41,,259100,,37700,395,54800,155796,100,,219,3600,1540,,174,215,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,Dolomite,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,6.5,19,,,39200,397,54000,179205,48.3,39,212,2740,1650,,47.8,201,,,,
Brandenburg,Groß Schönebeck Gt GrSk 4/05,52.903616,13.601523,4400,,Triassic-Jurassic,,,7.4,-264,,,37700,395,54800,160436,191,,219,3600,1540,,174,215,,,,
