WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
39.962917,-104.02927,-0.53866607,-0.55575013,-0.38335213,-0.42964956,-0.5717608,0.66472834,0.4053469,-0.019088686,-0.019015599,-0.0064716195,0.04550396,-0.02921868
42.80573,-104.40049,-0.03327361,0.015049209,-0.17044412,-0.07003762,-0.04698265,1.4197384,0.12323372,0.025651753,0.14070569,-0.035222832,0.61370957,-0.02918179
33.13212,-98.93173,-0.07535901,-0.004518889,-0.18752992,-0.15046725,-0.052300613,-0.24717815,0.289195,0.027893487,0.07117491,0.012606034,-0.100141615,-0.016559167
33.56864,-97.07871,0.12728678,0.1464699,0.11740412,0.13794595,0.16681322,-0.2935933,-0.2548459,-0.026082514,-0.0153987035,-0.025078407,0.09984616,-0.0245359
35.752598,-99.580536,-0.013993666,0.017307272,0.033470664,0.022786234,0.015403407,0.3425449,0.002674126,0.009652425,0.031908013,0.003046392,-9.900369e-05,-0.02192614
39.70453,-122.14375,-2.7717102,-2.7671788,-1.824626,-1.7828174,-2.7543275,-1.0726974,-1.3304116,-0.7168037,-2.90902,-0.0732072,-0.12972425,1.2416087
43.020763,-108.38139,-1.133315,-1.1125138,-1.072587,-1.2036678,-1.1497421,0.0031161618,0.909252,-0.021147668,-0.54124755,-0.007270773,-0.033546343,-0.034413572
45.151733,-107.81593,-0.75535333,-0.79722786,-0.4031769,-0.7214421,-1.1426547,1.1062453,1.2667586,-0.043446627,-0.5716618,-0.018028926,-0.053330783,0.019932248
34.883392,-96.8216,0.6180546,0.65363085,0.7929087,0.70908624,0.6374196,0.15478763,-0.39820147,-0.011643832,0.010692435,0.015317518,0.010888722,-0.021070564
47.935463,-101.834145,2.2704442,1.9690843,1.3220946,1.9380057,2.311858,-0.022766635,-0.2873316,-0.04418697,0.5902078,-0.058574498,0.37546206,-0.019799864
