location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Weixi–Qiaohou Fault,SB,25.8047,99.9204,,,,70.0,930.0,7.43,,,,153.9,8.43,55.76,15.2,39.0,501.24,,14.81,,,,,4.73,0.0,,
Weixi–Qiaohou Fault,SB,25.8047,99.9204,,,,70.0,930.0,7.43,,,,154.09,8.43,53.28,15.7,39.55,290.11,,14.4,,,,,4.36,1.09,,
Weixi–Qiaohou Fault,SB,25.8047,99.9204,,,,70.0,930.0,7.43,,,,151.82,9.25,69.64,18.21,43.84,603.0,0.573,14.82,0.254,,1.2e-05,0.488,3.8,0.1,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,274.34,6.33,66.05,11.21,304.79,,,18.76,,,,,6.71,556.69,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,286.12,6.12,59.82,14.05,324.98,563.27,,18.69,,,,,5.94,0.83,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,311.74,6.38,45.54,13.53,379.93,571.39,,20.7,,,,,6.32,0.0,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,286.36,6.03,58.41,11.17,317.61,563.99,,19.36,,,,,5.49,0.0,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,285.92,5.83,60.39,10.9,329.86,518.68,,19.37,,,,,6.54,0.0,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,154.09,8.43,53.28,12.49,339.03,290.11,1.324,14.4,0.975,,6.2e-05,0.117,4.36,1.09,,
Weixi–Qiaohou Fault,QG,25.5697,100.1822,,,,78.0,1480.0,7.4,,,,290.82,6.07,75.08,12.68,341.97,665.04,,20.09,,,,,5.79,0.06,,
